# Result of 'intser'
# Date/time = Wed Aug 31 13:55:35 CEST 2022
# Data set list (full path) = C:\Users\courtade\AppData\Local\Temp\topspin-dataset-list-7677651933548718135.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.287492252358565  8.244660261150461  -0.0  -0.0  # for region 1
#   8.204318501989341  8.174435717425549  -0.0  -0.0  # for region 2
#   8.041457326116669  8.002111659774343  -0.0  -0.0  # for region 3
#   7.968742550344774  7.921926187861498  -0.0  -0.0  # for region 4
#   0.20115475860371068  -0.0654000692997286  -0.0  -0.0  # for region 5

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4;
37;12.85980265214091;40.67229539670491;65.23500468812787;9.578907889449479;348.7294369781667;
38;13.015528865473053;41.90210296021788;65.84301468946734;8.035147564405946;354.4705005134616;
39;12.48535964638121;42.7102201187659;68.8230209403045;8.630941643970173;350.73859891949814;
40;13.669187837656828;43.872197169263735;69.18222976291467;9.378041702013661;353.56236103049514;
41;13.615805688261819;43.974987721569846;71.013716122695;10.25050676429879;351.50676429878996;
42;14.073545564138053;45.08969951332767;72.69284279144527;10.02697682725365;353.41185873108003;
43;17.98068491315801;50.55371701567174;84.09325356074474;12.178756083404027;329.28464526499084;
44;20.01133187480466;52.96879046300843;91.38012233781309;13.978327454569808;367.8698307809081;
45;18.035299370451398;54.0648301111756;92.60774210831806;13.828825289101218;371.25530204938156;
46;20.316587042907532;54.96420056257534;94.08950305844532;14.945287315265436;371.00774210831804;
47;19.639835692280215;57.0673215162745;98.24085368576148;15.083055766397283;373.63997856855826;
48;21.397428226994684;57.44193418761441;99.15606554449256;14.31923918381926;369.1628700272358;
49;21.071723891592622;58.4691967674242;101.70134392999061;15.522605706121354;375.15191320266104;
50;21.992534714470686;60.26863419207929;104.14116176273608;15.280966200830466;377.12242711077374;
51;20.670902352993703;61.780988525248915;105.21178729294101;16.546876813858997;378.4852703487074;
52;21.432343617448765;63.13214269768272;109.8441666294593;17.890324597044245;380.7679599946421;
53;22.394615350270122;64.66257088002857;113.10476403089699;17.57194267089342;383.42469080680445;
54;22.62190471938206;64.438701611823;113.66883064696164;15.915122561057283;386.50760369692364;
55;24.240076795999464;66.6342010090637;117.52224851542616;18.639630307630483;384.28585971335445;
56;23.382738759655307;68.4566593740233;119.04506853596463;18.324793499129346;390.7062910211189;
57;24.06078492655266;69.35619056123588;121.5617270170112;18.655087734964503;392.56402196722775;
58;25.18736437915792;70.4299682993258;125.77027280439343;18.21094789480734;393.8093673259811;
59;24.59201678796267;72.30945215877125;124.72659731214;19.067821583247756;395.2117515738715;
60;24.54381390364781;74.08555610126355;129.0716078046167;19.659311514935034;399.0726347278653;
61;26.051783721034063;76.04246997365718;132.8719828548466;19.048586864312185;401.06798231906055;
62;26.857891681921682;76.67017011206858;135.64090726436575;20.559664240746528;404.9130955038621;
