Block_ns,Block_frames,Avg_omega,Std_omega,Boot_omega_mean,Boot_omega_std,Avg_overlap,Std_overlap,Boot_overlap_mean,Boot_overlap_std,Norm_omega,Norm_overlap
120.0,1200,0.5628035241981535,0.0399813477795153,0.8801118510219255,0.004291756736251679,[0.83241887 0.80670469],[0.11319938 0.16555557],[0.99878898 0.9804699 ],[0.00053317 0.00586225],0.639468180714377,"[0.8334281627384933, 0.8227735315025468]"
130.0,1300,0.5754666030251593,0.04680021634668038,0.8828954584420675,0.004039994922973765,[0.80228965 0.81487118],[0.11148387 0.09536153],[0.99893609 0.98021302],[0.00046401 0.0056574 ],0.6517947255506461,"[0.8031441289681597, 0.8313205001500618]"
140.0,1400,0.5805368551546242,0.04943124067520466,0.8848093047926596,0.0038254048091926115,[0.82555826 0.78190284],[0.10865316 0.17995593],[0.99900523 0.98209549],[0.00035568 0.0043916 ],0.6561152239359229,"[0.8263803151408243, 0.7961576566376951]"
150.0,1500,0.586652687907283,0.052956482557917135,0.8869676262553883,0.003916884972992142,[0.85260516 0.87806918],[0.12407072 0.08765017],[0.99898093 0.98181619],[0.00039765 0.004485  ],0.6614138673629173,"[0.8534749117137942, 0.8943315292814332]"
160.0,1600,0.5855348612709793,0.043172595796619945,0.8879267606804742,0.00365439532859356,[0.80732714 0.7778509 ],[0.10683545 0.09576213],[0.99894309 0.98206668],[0.00048133 0.00444973],0.6594404935180094,"[0.8081813144939763, 0.7920550763351308]"
170.0,1700,0.5845752104264005,0.03452641434740039,0.889022929817562,0.0038810978409676246,[0.78199322 0.78800835],[0.10449645 0.0803637 ],[0.99899    0.98119177],[0.00041674 0.00435399],0.6575479560986827,"[0.7827838251484354, 0.8031134899152621]"
180.0,1800,0.5949427029956753,0.025943925962824594,0.8906460516943805,0.0033186330370691794,[0.81025769 0.81691061],[0.13900979 0.11485584],[0.9990977  0.98167795],[0.00031675 0.00411993],0.6679900526857397,"[0.810989448151891, 0.8321574384560257]"
190.0,1900,0.6016181402942995,0.02466390990885575,0.8918009405992603,0.003656203993450065,[0.84814184 0.84791607],[0.10090983 0.10670095],[0.99910731 0.98168246],[0.00035628 0.00438663],0.6746103450956581,"[0.8488996407546671, 0.8637376127339137]"
200.0,2000,0.6137377474569565,0.03227120163431123,0.8926455948768869,0.0037566401877747882,[0.86558213 0.82052821],[0.083449  0.1091154],[0.99914694 0.98233431],[0.00029809 0.00420789],0.6875491807491672,"[0.8663211597531466, 0.8352840856644898]"
210.0,2100,0.6227798451699186,0.03826371688123696,0.893825617717771,0.003105826740956498,[0.84466415 0.83054346],[0.09084635 0.10313239],[0.99915961 0.98183547],[0.00034334 0.0036887 ],0.6967576592401536,"[0.8453745950339162, 0.8459089924179569]"
220.0,2200,0.6230796739792912,0.039996349250234625,0.8941771624663585,0.003457295049844362,[0.82980225 0.80526283],[0.10673067 0.10564078],[0.99916948 0.98180094],[0.0002432  0.00421083],0.6968190422809342,"[0.8304919864769382, 0.8201895105416008]"
230.0,2300,0.6233662187304703,0.044003325963272395,0.896074181221981,0.0035271914666163916,[0.83165118 0.81237211],[0.10656242 0.11371023],[0.99913154 0.98331419],[0.0003139  0.00339587],0.6956636311966745,"[0.8323740596601759, 0.8261572071114441]"
240.0,2400,0.6277192749265742,0.048079199180968445,0.8961694577637238,0.0030122574087101985,[0.81954036 0.78412327],[0.12278081 0.13421925],[0.99912571 0.98236184],[0.00038891 0.00308989],0.7004470744773732,"[0.8202575058061625, 0.7982020933825102]"
250.0,2500,0.6357886012701682,0.04691894915307113,0.8965555383464076,0.0036992935055673256,[0.83775668 0.81025053],[0.10376647 0.10640619],[0.999178   0.98225138],[0.00026349 0.00351912],0.7091458075679353,"[0.8384458788948701, 0.8248912059425114]"
260.0,2600,0.6339073556478421,0.0568850474650476,0.8976310346061419,0.0034269420917856074,[0.82614031 0.80882813],[0.08665824 0.09629541],[0.99923079 0.98211188],[0.00025098 0.00345241],0.7062003553898789,"[0.8267762811441455, 0.8235600678573375]"
270.0,2700,0.6414351640482945,0.06219170715147912,0.8982928625320682,0.0028722755619858945,[0.8571051  0.82454885],[0.08005683 0.09191454],[0.99924387 0.98227242],[0.00021296 0.00345389],0.7140601810418992,"[0.8577536728860663, 0.8394299130583445]"
280.0,2800,0.6497688870699383,0.0640179203102999,0.8980711438406713,0.003229362208303303,[0.8654754  0.82192217],[0.0811241  0.10758871],[0.99920228 0.98226109],[0.00027468 0.00364823],0.7235160505114895,"[0.8661663593362938, 0.8367654816650973]"
