PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.0431607196756908,0.13968349462955137,0.010480103296929446,0.0004255885747017333,0.025065433266256053,0.03393359762635033,-0.02324460475905145,-0.014437000279629065
0.0010434419829762683,0.1495634273702136,0.003635892140008644,0.008718877083685076,0.015802388957687437,0.026295054381319138,-0.0198203925865165,-0.009032467855792509
-0.024701528467595834,0.13351065045353042,-0.004318689906814721,0.02408724433801731,0.023096730721718257,0.028834026869800362,-0.009982727403764591,-0.006141637741191551
-0.004429819936817631,0.22123621383966016,0.0033359013898746344,0.043738977929906955,0.012395172103908442,0.038257817581090196,-0.022768726497108087,-0.00817533727801126
0.030565347518194293,0.18535178692250626,-0.019770700330403117,0.006656190216700914,0.013124242720507507,0.02895314387018813,-0.043793161235909775,-0.01430664380218153
0.0386246528103186,0.21666043667127982,-0.05541603058337184,0.00827930816368033,0.011020875105884549,0.020453189019391527,-0.035173908293526825,-0.0017901412836091085
0.04953568693364294,0.2441422944550564,-0.024529016206382752,0.030993456457788175,0.00900945059251313,0.023960468881433234,-0.040049029744612136,-0.019717928921171496
0.022295024561072813,0.27662373589865863,-0.022877113749242492,0.03191762705694466,0.007616438574417211,0.022691801833758806,-0.04002532732570385,-0.00958364184447525
0.022770127479585338,0.22835733916605283,-0.01594819456584523,0.025627327002960203,0.01578465583060064,0.025511200471685373,-0.03473498164422789,-0.007307158027837055
0.06235582814628135,0.21060941337442307,0.00212989056114159,0.014489194425724276,0.015545970165784791,0.015218037657907395,-0.03817655715777052,-0.013373670865297546
0.035207656501494246,0.20021264787538412,-0.004150288751185907,0.027803667757747782,0.019509924780008698,0.010803381016770386,-0.029948101582329956,-0.0022203695273032577
0.03421666563532928,0.21108381956501995,-0.020510162207948556,0.01670034344175988,0.019057530672845487,0.004193405653198079,-0.04507609988921006,-0.003974220678859669
0.03706794650299185,0.20304225061718512,-0.016077270684206287,0.023899959471914253,0.019660363747239434,0.012366550314266886,-0.03530264617179522,-0.007050797532085939
0.012316939709756492,0.18946622096782423,-0.024740101437997403,0.025658408457286303,0.01477746645359462,0.020543037374166184,-0.030957185295533998,0.0015156811417207472
0.036514648412733705,0.2356552631270229,-0.02824158363238212,0.03473416270146567,0.018820437291918502,0.027015081139045688,-0.03379279228768581,-0.018909456808870788
0.02160429386605649,0.20242158323802023,-0.0032879935708531602,0.02965965445954634,0.01370342408852859,0.014917001167856953,-0.03708885461793897,-0.0005181556515364437
