CV,phi,theta
0.880654,-173.11201318420305,95.64894982117649
0.906535,176.17827143477666,92.74733036688541
0.861409,-175.83082822530068,98.9381807528601
0.795373,-162.18869163418927,104.91269469288109
0.792554,33.70948400340857,84.1000243584642
0.820289,-95.34111482270544,26.389402205850445
0.868525,167.1875528896757,112.06194927995712
0.830812,-173.17787762636206,97.11120374701837
0.882428,160.8153778678754,106.42989657919567
0.842281,-179.77474796922746,96.72907148018471
0.921683,178.34573023059357,106.4439332107448
0.892299,-174.79978572383527,109.28640162279204
0.760854,-88.90866187387388,117.08695415252532
0.875933,175.05203013820298,94.01774889838411
0.791532,30.903508308557985,75.02510241776554
0.779429,30.732583572626137,90.10859260110367
0.944987,-164.46299474907715,103.48963906404765
0.744358,24.391076600804183,89.07184098992086
0.886181,-170.81175799674375,98.64122984504763
0.678236,100.64650978317015,61.98298225878608
0.915595,165.81599545954148,119.24288825597003
0.7303,106.21705542902241,67.06744925904489
0.857152,175.8351252929842,101.22400243362804
0.874525,-174.72162528963108,107.60696912865362
0.805599,-169.84100578632453,106.70368407160748
0.721674,102.29033634498576,59.95379501609215
0.845554,-162.4035691069635,111.92966320702658
0.696053,117.16448812835988,132.68090882166396
0.687404,96.58043182683306,57.91478015456276
0.788854,-166.99350696453007,104.67436855004617
0.846689,-171.55336822209352,109.68944511650055
0.844118,178.43862374429034,101.32177395610827
0.88305,175.5241120731702,104.11747142499276
0.838128,51.673785766321444,57.593356383920955
0.752439,22.540354581987526,94.23399176143445
0.887713,-153.84305306764162,102.3755587609776
0.826522,-166.64682813642023,98.28091187426747
0.794332,-173.71281307180405,96.2378313265842
0.838309,173.1468167055146,105.53109512892094
0.859122,176.3202088419083,104.85190247478437
0.90819,169.9600990050064,106.1247839893593
0.896449,73.93505502122673,78.50735104356937
0.822283,179.46631595168392,102.96495871479983
0.915487,153.5061210660466,42.49147423223506
0.879394,93.17974187975929,32.34484665409065
0.799221,179.450994614022,104.91021065425682
0.879144,177.74043352016383,96.83248813893287
0.922153,163.10651838397067,110.54389500073496
0.908046,87.53076583580659,41.20253548145115
0.897137,149.43779147158895,106.11665871235569
0.862512,174.0949636778729,87.18819837584634
0.91233,159.7373185021654,100.3400361483724
0.891055,102.99009830385313,43.16306908667711
0.875553,151.34824828158187,112.3432492469968
0.881207,176.41635924375703,105.2849258989547
0.887031,176.97753239741468,113.6765808965589
0.871355,-163.13141270227953,105.8684377286575
0.848587,168.45122004072343,99.5648250153645
0.854902,-173.0424336866722,92.91083645519983
0.897352,-177.9776698922786,100.8203745284442
0.954178,171.85253057992603,85.09930203545106
0.782149,29.651367377202753,84.48746595799855
0.86242,173.18744044733896,107.22519682168871
0.883833,-168.70392003075415,103.29642368070118
0.893663,-169.43985918420253,102.05624719710545
1.101448,-69.19921394189329,36.80781299714292
0.776198,27.3022529360668,91.3780749951159
0.804926,-160.6049962774286,95.57410814327795
0.915872,-162.24816153167907,101.88923661770228
0.783036,41.999962038773106,67.40396428868709
0.672944,32.213972172219734,32.363221677156886
0.85697,-172.92721252016432,87.18672203018136
0.79167,22.461915495649407,84.08309682911451
0.788571,33.891960576275146,78.94827505436376
0.85839,-179.527546019729,97.80140639166021
0.94258,155.51524441625716,124.38335210743277
0.871829,-154.54534008571147,99.25103187098352
0.855721,-157.40903612555047,103.01196784448427
0.911962,-142.61443039615847,60.13416601043386
0.885537,-168.2738505135485,99.49225195673638
0.766892,-148.8348373745335,103.6472070719292
0.881661,-171.99738755589814,103.36722695637877
0.824773,134.16318032929806,81.06826065284218
0.872366,-161.44789221121533,102.14051247212791
0.879275,140.33310856512915,114.80823476190857
0.863098,-175.35554375767248,97.21664182353531
0.882962,157.94763566403597,98.76389705779717
0.82098,-148.2456206752997,90.45169080695746
0.836036,-167.30137386194443,103.25689381110713
0.852729,-179.4147555408396,98.13175558516747
0.872476,79.63099398929194,34.156990968088955
0.899437,111.86426439284845,35.57675388736102
0.849329,-167.090772334356,101.55834958857027
0.912117,162.17102427475484,82.44819679141634
0.866017,169.70896709361548,106.63084696830921
0.87489,-162.59895920612945,104.93115125908182
1.085898,113.27451161080326,109.73100273852101
0.862086,-173.62304958386994,100.6543179190547
0.879601,116.99476035634125,27.79489067164802
0.739088,91.74088294479742,62.02438814433208
0.855784,107.33903006415657,28.521954962402905
0.884598,87.81514062326042,28.053638825020425
0.732367,79.51943971385518,65.91165888757084
0.862217,-161.17595553647527,99.7328433786234
0.819657,-170.54923786055522,99.58044073814914
0.863458,-154.88659853112912,92.50849219241178
0.862112,82.86257977516766,26.670957474055037
0.6573,96.9204868244221,55.05087439080272
0.894696,94.01038824828841,35.176315936500224
0.948152,-174.12549667073873,89.3412918427363
0.927234,174.61420348305919,86.54334405798909
0.891893,-176.12523649766095,94.80818399792534
0.79777,38.69455867916952,78.58867885017385
0.770249,101.73243008083085,68.83515573197404
0.720258,102.91607077912023,57.183499171884954
0.86089,-171.52352395763032,87.58341341606253
0.701923,82.25608448055776,67.07718696424439
0.829968,-163.53364876194476,92.48614530039957
0.741588,105.60569558277793,67.7194187800706
0.852222,-169.08355261658753,86.99254878190064
0.791746,106.11552495098293,54.17834819864281
0.716572,102.88334484064741,58.85639733920713
0.728674,142.62197847698613,88.68084822679046
0.838314,86.05047324263849,65.59982232281114
0.813064,-168.4494310922742,83.24287461587149
0.825076,-157.46741679451222,87.18879986440446
