phi14,psi14,phi13,psi13
50.43549038686548,6.359082577065017,-8.302716042643713,3.5399673566632197
60.351201948598195,0.5966161125950192,-22.78294436096384,33.38445489025234
33.36441246124019,21.66742694151093,-27.171706291463195,26.662083973567675
45.191786008526314,-1.6323602734938045,-32.6301593517553,44.2820840964731
45.66625922360818,0.6043686230546516,-29.63474023174724,22.172485864055652
43.043598142310074,-5.66787306825968,-31.074671090478116,16.79426932781471
47.37418588757557,0.8553087666459136,-32.43769817808447,-27.048455156492878
38.41866397180545,10.289015932828432,-42.289551715741915,-47.546319830316534
39.96002224773812,-8.263744680925544,-47.65237341639199,-38.23995230704139
52.42545242351522,-7.342080847203402,-68.4319894807921,-44.51306959492268
30.779556505232353,-21.65799629729303,-26.374849764223733,-37.78876966556058
41.321464372187314,-20.004314266279213,-32.82680852248449,-34.78219125490847
44.1733187162512,-12.106878486237749,-30.768764416664464,-29.588949730688135
23.47870732775539,-30.929719782689418,-45.25590841879775,-33.7870452082546
47.9770536514898,-9.747287131752051,-41.423431915638496,-36.90211085627306
35.084660174615934,-17.59468127209475,-34.925531188409565,-27.460361503834697
38.668797660647925,-15.561163211505237,-47.53770154984859,-37.75857196268627
37.443631619385705,-31.440418850657494,-60.564893129553006,-53.95571997350019
49.64244337450984,-12.174385157245535,-36.28638988243229,-28.585214921138235
48.17720763796854,-12.322168366357523,-45.92234737266378,-49.165253305365454
49.218336022579365,-17.89622807368444,-31.867522615579674,-24.19101019387178
37.30861444203025,-33.95374971179776,-56.4665442674411,-34.58325643090848
48.768105998233395,-18.356379903565074,-28.34772272237609,-13.802940521748782
65.11677321533243,-16.840815143218325,-32.86464006187176,41.091100111098996
48.362252427787816,-3.7999838868444833,-12.964926359286487,-28.04307202218521
34.23861367471464,-12.65592781232225,-20.46975468063531,21.968727720646797
45.01402409034181,-20.2170927194103,-35.93486848525449,49.77941038801758
32.345639853125,2.1938408505588094,-32.78879567654466,22.357646114031276
40.706457282445164,-5.967798367341724,-9.00537492596663,41.42961507802998
47.00306742780391,6.618472497288079,-31.205649322684874,36.233588570354456
38.809171249882574,10.641047486271244,-32.38088212782341,41.17813812667716
49.55537196454096,-0.022901277248046758,-21.157287323424633,22.52232620334364
61.142092345495605,-4.047396593689336,-48.48154642524738,5.48646534393276
88.64803103895203,-13.799678446323398,-31.350133703295853,1.240355496411771
59.23173058211172,-9.297148087489159,-45.99914476369618,4.888101046589971
61.612618274857866,-11.425655272099437,-41.080795290818585,-21.120856171516266
51.114219598989585,12.760444519147242,-23.46488534957224,-21.41197777004588
28.66182093516322,17.9193129627754,-36.025075238333095,-0.5094878884219272
75.0854058922177,10.397999116043815,-28.103097258065524,-9.020749663652232
37.94513353911079,-2.4508406526918525,-33.78388266075148,-13.384858944591357
60.62232504225298,-9.298924765322747,-17.13150431438185,-25.903944871903565
57.565427817033445,-11.45365458130025,-16.13822507087788,-13.161747249017875
60.760655609574634,-10.346331546093968,-52.156403266457794,-32.46486431516812
33.79673486802884,5.540374322852809,-22.752555234670705,-31.825783272324312
61.00802540212222,-7.2753900223888195,-11.829844534651432,18.950062951519993
47.27453036565746,-16.969576372781173,-31.088231545452,-3.9024819949802008
75.89032355024885,3.860272837098079,-33.2380207233075,-30.105641677066206
37.46193725518172,-11.714001385802739,-30.074455708502697,-34.53139566157416
36.38176058862492,15.37748881682986,-43.43076777221268,-21.826251841417392
57.50339318149679,-10.154068279227603,-63.40267714965505,-30.52763423131174
50.52524260678948,-15.407636496147093,-77.16983245966385,-46.74586366915323
52.70809884551866,-18.16541735459399,-68.71241021848694,-46.466189785099914
33.381574034177426,-11.805252548494797,-68.22097332315305,-45.67426341565078
44.45515062332378,-19.607956951409054,-53.03542761943699,-25.614032631780077
44.505781968229805,-1.5177502463803678,-40.54677914541646,-44.29294505429605
57.008693095864714,-18.829176616405437,-59.60740016552535,-34.646632322485424
39.38185122376784,-15.540188228992978,-49.55910287886628,-24.56361185046906
38.66137212338857,-12.610681596669641,-71.97695203633816,-46.1660469100743
44.07023590708808,-10.178554606590161,-73.88364581949874,-31.657096067774727
53.62740764307861,-21.86268824514973,-44.186443484801664,-22.89610387583781
47.24795695144793,-5.4096969151997545,-31.817067196438842,-21.129127887043538
45.37215277993875,-10.561400176649574,-18.751565234078697,16.986099751622117
39.127156129811446,-17.38712499629742,-27.296643874567774,-7.525808495004328
60.081072385153966,-9.617401903072954,-14.484938789068428,-0.6324348324206059
16.137057650871927,-15.915311415799774,-31.046690144041868,0.6916038504569785
40.26899629297734,-10.089413102673573,-28.03446546752102,8.322358017493196
33.11132327388544,-40.64990820642094,-50.737918669797445,-37.03899594897925
32.66138509886281,-13.22136763005203,-64.44089426080549,-48.02371269113921
43.18643893365814,-11.158360420180985,-72.13911973928768,-47.828203016590024
40.91347227414274,-24.88841677376445,-64.09823123383816,-50.0140451443239
36.79249076825277,-28.423438166279986,-66.0809960318851,-54.7622640746577
44.55878277794466,-4.146040291149053,-47.05860847394524,-36.67875691001434
53.471440755843524,-18.090939556234336,-54.100585088186655,-30.923011359590962
44.00307894410856,-22.580503371400535,-70.87145850601334,-41.1047546061265
39.18991091881263,-19.7310159715016,-46.18915266533866,-25.945256689099413
45.794178206024434,-2.7395321978073217,-34.86319760085324,-38.30906231027197
43.31616870823799,-25.635409882278495,-34.20487329829588,-4.051677546530289
42.478360005563175,-16.980420342092465,-37.01904797098107,-30.502527288273132
38.023735253283874,-3.8194355254045305,-56.78863145871903,-26.32002348268924
39.309520335535666,-5.8252025803561445,-68.79939875624338,-20.17172581971679
54.80235532598918,-17.55895592535258,-52.70152726786005,-48.84677363508156
40.932363603253336,-22.45890822437629,-56.800153943329015,-19.483191294365216
45.66590987417857,-22.13642998711659,-39.33145183772524,-36.75736215982592
31.49959011196447,-20.826644284063573,-38.556825693916224,-22.934268742429712
35.305912888031074,-20.83811105990807,-51.843705168827384,-26.483972059143735
34.564004892287876,-37.57449714573131,-48.89059659285742,-26.908773198705315
37.28095127224259,-32.463395739495155,0.4311437348209095,18.642519061932745
26.69832138216704,14.850293415554503,-31.891744967231087,-32.51172084833596
34.08168875967635,-32.41515673397439,-30.439491847682394,-32.60910637015331
34.57145840612513,-22.196328603324684,-31.258204559731855,16.597002868268156
36.92642537572089,-14.61416483884357,-15.607731906408533,-12.125573788411954
41.546210148779544,-26.95406392791368,-36.066595914729724,-37.97408833301113
37.38194584088625,-23.917037487861005,-30.08252754217308,4.567269126520097
34.346334240695946,1.176941807811561,-38.04342453600523,-25.00036522426168
36.78308395857085,-16.660264411591907,-42.606858587879934,-32.1276832058399
33.075178023091894,-10.090386951169078,-47.29552356718709,-15.33320763733809
43.69337284818251,-9.453479613759846,-73.15856501226108,-38.845544653061786
45.18368066972685,-26.628027621168915,-66.90632369251324,-67.16158929013014
23.02756555374948,-2.2213464615615637,-71.03593309759133,-48.23940591565953
40.630346518662485,-17.414053094259227,-74.98597738887621,-35.33187018603081
31.98224013635857,-1.5738908167177155,-56.188972294795256,-58.44320611179168
35.00031516289708,-6.406588160916801,-77.18621348990709,-40.348797971877296
41.05633273163217,-24.026205427836373,-32.889085212958456,-32.08349771935877
53.37901930881155,-19.678661972016577,-25.403360178575966,24.368263461085377
42.54805598583942,-12.629602431020755,-37.00766288233916,-16.891043152912953
45.04027778809736,-14.816830609018588,-55.278454171259426,-16.995159768288634
36.27385158433089,-14.702233014538631,-39.61024935698276,-32.375312499881296
40.76395110343803,-26.447979532315877,-72.38778111094824,-42.31639926831341
40.12474549117909,-18.66917560880227,-67.951498302058,-40.515775494492665
26.649004573063397,-17.40063517377224,-69.22919188017595,-42.31641601511175
28.92432282268865,-27.186884222788308,-47.215155924775836,-16.57833692556992
42.51522675675915,-11.381679394033235,-40.33734263497404,-9.520147885871072
60.48846427212294,-28.805087136073514,-27.932511698476844,0.11858454435585282
48.74386555190173,-32.23511532519106,-28.781612880138553,37.08187520015847
44.060331639723046,-10.868528938492823,-19.602745767810596,32.24747353649936
32.95445809120302,-10.028974950914705,-39.402191048061155,6.341163088229519
30.02846941228908,-14.43123424959644,-20.787111092856804,7.3529511516357156
36.13116253598534,-9.658168211546089,5.880880514790866,2.6331302800391847
49.80121269012957,-29.674182704090065,-35.98740949635158,31.045853055888557
45.237272076590344,1.2949492285406932,-46.33802182337517,-37.84906061315035
34.253103498513525,-20.913885029706552,-33.04511025880743,-28.301056988675285
43.33584827877355,-23.971568169423712,-30.806534442071957,38.212499673840384
33.799578620233376,-24.439110092004217,-33.09300136791186,-18.267273505226967
49.9992170711868,-5.460911699769255,-68.02728592555532,-59.632631395449856
36.793280643173496,-3.024891871636254,-53.81603475895448,-49.85498821377896
43.07329879276235,-32.611386476293525,-82.13110530854101,-29.680541379284893
41.17146392375642,-3.1696966368564703,-66.63760946057798,-51.660671899386955
31.304500149105486,-11.049692950545028,-64.04893490583402,-32.63736028701725
34.453699537898295,-23.51543775147931,-56.31310203564605,-26.59233056594672
39.30787398578964,-30.314038999084808,-72.88886313936969,-42.62927064168121
23.059343944957046,-10.160345920581424,-44.768040630702664,-17.53507212284116
56.90007793518686,-9.728311453984347,-46.665224348004216,-23.787550658540628
52.20286801544587,-19.622110387033693,-50.6499504950212,-25.858048303109573
45.494234631409796,-2.0564538771671708,-54.56726417513883,-43.90509173657629
52.2226776746217,-19.6602808441275,-58.29660548615404,-67.68284454049412
38.59066273172782,-22.0730332414196,-83.52256148172113,-34.17729777147698
42.39121408865463,-15.496494583260423,-67.57882198557276,-41.49039822696981
32.1770929979079,-10.418899963039902,-75.80202631651338,-39.53887232360368
41.13639839737984,-5.717943092736767,-75.41069927217609,-47.94916633304462
43.56556413818491,-12.648965699908272,-76.23399728020897,-37.993100263166916
31.428889631947335,-18.588898593002696,-55.542369698161814,-62.582876195086456
35.394079413624574,10.779995941113574,-64.4432773054773,-51.644833564822235
42.53570064625445,-12.218147874535408,-51.84493852191468,-35.69475953950466
40.06769775442793,-13.593089661810815,-45.36376028536071,-27.924819687512187
31.87766079797992,1.555698376981139,-50.50276854153543,-40.07454016860611
29.799325802096572,-3.5047497905565024,-37.117668360182535,-44.11767063735553
32.36056457414077,-8.41372788855803,-36.60445978896831,8.75908413394469
41.698479896973,-11.607574810021118,-36.38907607230005,-25.90677290384712
30.98535833395477,-4.425524092005437,-42.60045561932944,27.287391648041915
20.40591604412315,-17.6838704554959,-41.46450064986436,-19.217852125020745
29.524125874368643,-14.49893089526355,-9.944075707689063,18.935453776686543
44.106572774306066,-18.35296516119606,-49.25463556309459,-26.836901653177627
42.258468101643594,-10.991189493339178,-31.478716001425354,6.320270165415764
31.176546743221277,-23.92113564238978,-27.72752518327137,11.387758861241135
24.167204664922235,3.0647203830592815,-62.0042592879032,-48.55291967035949
36.746356579303935,-25.79565056041806,-59.767311210252934,-61.594048972665654
30.5866620167361,-10.384282802706842,-76.44501233530708,-45.07154333583177
35.45897369397457,-12.377709338764951,-49.375677487452656,-62.7795703216123
43.237138793517715,-20.5946570946857,-54.6044087828261,-77.57581444089789
41.49702155632992,-16.370897981604617,-76.72026003164127,-29.826828211650472
31.490870670778403,-25.54363464965925,-61.473881197813796,-44.673162227685275
31.255056598267522,-10.528979989311091,-71.03316020954917,-41.14649652376985
37.2606606096473,-23.26511453433053,-61.70445876003256,-60.71723912120398
46.73518888341374,-21.43621126045719,-67.77375976542251,-51.70637255846471
37.84099811219883,-9.475417854955307,-67.56272056028821,-49.85228866035848
33.159348244314586,-16.135760176667247,-59.96033140307943,-43.3356321084399
39.23659922949762,-15.817253428500706,-24.8448800897867,3.4804073406415315
27.774790992184073,-8.673678869484778,-22.940271260892843,24.58656336881651
31.720745901336276,-9.481643953758745,-27.40017828034493,-18.43566191849878
30.882720629680758,-19.398134761637472,-37.955158721529074,4.026651555067204
44.658952691573894,-25.274539588353875,-46.75702355713295,-30.917649642889057
45.80176519026129,-10.504093873452579,-48.706589827011015,-19.670337468327507
34.46065057687004,-10.864641927950645,-41.62857434026839,-29.97315263724852
31.103740868694153,-19.72199999488082,-24.848043768822958,-13.307234498162213
39.73305851746281,-16.670909532787533,-46.92537220640783,-38.255176216955824
46.763956833361064,-8.909881805266577,-37.30453138496225,-31.074117405687975
28.665729920608403,-9.049510623340044,-73.37615120728044,-47.38469733129564
24.420502734327428,-8.176368577975435,-71.06965609739781,-43.10920812968923
39.8863267235027,-11.788708166532345,-71.03478549053878,-47.16832309560399
33.4717865813537,-13.854158847872151,-66.70098794980898,-36.71214672363803
29.044374987388938,-10.720219802661937,-62.63016234316545,-45.81239948416484
35.60022347087618,-10.507007901357335,-70.02844027962524,-58.973516826992416
39.91274882952994,-18.480752939497282,-65.47651021114505,-28.021777886657606
36.572754039543426,-16.883830355809287,-65.47225128219571,-69.42881228654774
30.925431800639736,-21.52834833765756,-71.59315884437126,-34.94500698765846
40.669664230055595,-26.819235924566893,-43.65488373477401,-30.757650235588706
31.247220244677397,-36.18750269743302,-36.0554678795613,-23.907662438942356
48.143549788564684,-13.353454246857007,-23.45408810338086,-17.367372639755665
50.595204370027275,-23.397606726130114,-57.56669821850795,-58.76003433676205
36.028002841587686,-28.9122587820563,-57.993336889375726,-31.948098257358943
42.39416963843457,-16.76250867913439,-60.09337924229311,-27.06332974762815
36.35929325985351,-18.701996012104086,-72.919041836314,-43.33579333562627
33.33053825265784,-1.0974509234816923,-44.35389935862519,-32.36097027269672
47.736914735625255,-25.363311409975882,-48.732221082047595,-16.284792240433582
