CV,phi,theta
0.879048,-159.1211981575617,106.18660917226218
0.374851,12.026739694076548,31.81210684674427
0.348188,28.92689935303454,38.141973523642456
0.912901,-166.05927607625713,105.25596585130424
0.301452,27.266174618309265,41.40596911196815
0.943755,-177.91589080959218,105.97304719624123
0.91752,176.08083519043052,112.09746997207027
0.899522,-158.85738151249257,101.9940717009827
0.35372,55.8907430877118,37.88887441543544
0.37807,37.556334449085526,36.57713986918071
0.333098,26.368265069949558,54.6245966472569
0.348124,78.64745144422517,64.90222744646783
0.327484,26.159513002507573,41.83090214151084
0.323563,19.94509926835787,39.927885298784524
0.89074,-148.989331375699,101.5161875202824
0.322964,26.789581179396247,53.53514105071407
0.965157,-159.42833074306552,106.25101737741218
0.347468,19.840710793470066,40.29121889472113
0.345663,22.508447797158833,43.600169775325
0.928533,-169.8606464769386,105.66500186552692
0.340912,26.43859123249473,41.32439929493427
0.926847,-169.26889955733733,113.32641624714832
0.900202,-144.89425282428493,107.7674989585909
0.352932,27.531168826367935,44.82271002830153
0.341709,37.942492392329655,40.09284331839948
0.360603,25.687223831789847,40.8720165742765
0.331798,18.008723273157422,42.53892467755656
0.327735,3.216313420851375,49.410888011130844
0.339619,83.19926915296449,63.74959285887024
0.340736,95.30058016621916,63.547055282163456
0.355423,90.87671978937591,61.87957583853848
0.320789,93.35007353976661,56.42110825779884
0.345307,91.1240697374888,59.19446422449515
0.337963,21.25902533382167,37.847215943389735
0.336112,18.878711086554727,39.97279696272467
0.335948,41.33815922617603,47.43528701499647
0.885268,-133.77437627787043,111.39068149872368
0.332899,83.48636148335875,53.1849284899741
0.335628,89.05651248523144,54.35080368547585
0.347001,92.02491311802069,54.72098118208181
0.330304,32.110708391520184,43.79915224706578
0.342161,27.035072766763115,56.02937942213746
0.350926,17.623799081368762,37.762039099853425
0.936579,174.67462058394466,109.17339729691238
0.389602,12.928426669889111,36.73828581254731
0.369548,10.4111839904708,41.645955152168554
0.941578,-136.26847136591462,93.16677723744762
0.869045,-142.77734271213694,98.69937875578867
0.349083,88.19155236951767,64.28744378052147
0.339229,86.46801996367367,59.271178769292625
0.359035,26.413369378986786,49.23881097970095
0.898286,-160.59065001283176,111.19815249466828
0.338566,85.62090127083239,53.11397595158981
0.918158,-167.6823828021303,109.3709965883909
0.924533,-172.19473306094076,98.67420171915026
0.346332,94.94015268950155,50.80096248711512
0.401178,23.58463607297182,56.286846401657556
0.928327,-169.81380454721813,98.16437179048248
0.901084,172.42726868446772,83.39108775595406
0.365569,78.37305430634765,58.32108636298092
0.363893,87.58986582557274,62.62650321370494
0.892505,-160.72013793050726,107.6064748371937
0.92102,-167.58059851120973,103.17523972894043
0.423908,79.66151314941203,56.137152923046635
0.345104,82.53232529492911,54.121668710614
0.94946,-158.00809615748034,107.76840840320313
0.321199,41.366622574351815,43.53601385296108
0.941733,-152.61819153672928,114.17314333301123
0.87952,-146.56055110007665,108.75404393672311
0.937681,-163.69570611243762,109.11875232314313
0.997963,102.83521080196573,88.40137030951497
0.947507,-153.94329445975853,101.54966064314104
0.908208,-156.3730027610778,107.93477995244771
0.349987,65.53108060086059,55.53266067529275
1.065664,80.79771868615875,94.17290339933518
0.940088,-176.3025895724989,107.54522184320705
0.464777,94.68775559738191,56.94118812158385
0.92956,-168.538916417298,104.43472449193732
0.43022,78.61967813010286,58.237747920239926
0.488445,100.4849669082493,57.78578200198601
1.221189,111.88238398896542,138.03518720855024
0.343473,74.1592815906799,48.31770847358198
0.337297,65.8032612579232,53.771135446937826
0.971091,-157.23508358436152,101.50512389724709
0.307873,53.465627038497125,59.93730001423681
0.29667,52.87268265233214,60.592283976454524
0.345897,95.86986632566435,57.78794520741902
0.905682,-150.86786680968606,106.35689948203006
0.923722,-150.50954929276324,100.01880295017651
0.951105,98.95312460756038,104.49491371322867
0.932229,-171.4268742559554,116.25282110608967
0.964878,-150.14024465955018,106.23497203739475
0.377447,84.80541921152471,61.42972853920741
0.937526,-159.93795022760915,105.76896229213693
0.889751,-148.00832126310917,107.89770767428229
1.089069,92.00399847991424,128.94627384759517
0.88868,-143.66909768118174,117.6482285142085
0.973134,-169.79011259601273,106.51231524816534
0.972808,-161.9990282247082,102.14546595658415
0.998724,108.44009106252031,82.74004940662984
1.02095,92.6605662034881,101.75034716783942
0.95772,-167.1323562367126,105.71821368383277
0.906715,176.33737390961173,104.97747438491007
0.910864,-157.64983507463225,107.70464523179793
0.939148,-149.9837307949089,92.87652422291046
0.324378,48.14067530277516,57.64248693938387
1.030001,162.55112619945882,146.86380724725532
1.000043,102.87661377249678,94.81143520991334
0.319467,56.11387939033682,50.74044754758546
0.923587,-165.6011665827095,104.90511388862794
0.361833,92.98758654448636,52.90544784645617
